question,ground_truth,contexts,evolution_type,query_style,query_length,synthesizer_name
Mục đích sử dụng là gì trong đất đai?,"Mục đích sử dụng là yếu tố xác định các thửa đất liền kề nhau có cùng mục đích sử dụng và các yếu tố tương đồng về vị trí, khả năng sinh lợi, điều kiện kết cấu hạ tầng và các yếu tố khác ảnh hưởng đến giá đất.","['47. Tranh chấp đất đai là tranh chấp về quyền, nghĩa vụ của người sử dụng đất giữa hai hoặc nhiều bên trong quan hệ đất đai.\n    48. Vùng giá trị là khu vực các thửa đất liền kề nhau, có cùng mục đích sử dụng và có các yếu tố tương đồng về vị trí, khả năng sinh lợi, điều kiện kết cấu hạ tầng và yếu tố khác ảnh hưởng đến giá đất.\n    49. Vùng phụ cận là vùng đất tiếp giáp với các điểm kết nối giao thông và các tuyến giao thông có tiềm năng phát triển theo quy hoạch.\nĐiều 4. Người sử dụng đất']",simple,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What types of organizations are defined under Luật Đầu tư in Vietnam?,"Under Luật Đầu tư in Vietnam, the types of organizations defined include: 1. Domestic organizations such as state agencies, the Communist Party of Vietnam, armed forces units, the Vietnam Fatherland Front, political-social organizations, social organizations, public non-business units, and other organizations as prescribed by law; 2. Economic organizations as defined by Luật Đầu tư, except for cases specified in clause 7 of this article; 3. Religious organizations and their affiliated religious organizations; 4. Individuals within the country and Vietnamese citizens residing abroad; 5. Foreign organizations with diplomatic functions, including diplomatic missions, consular offices, and other foreign representative bodies recognized by the Government of Vietnam, as well as representatives of United Nations organizations and intergovernmental organizations.","['1. Tổ chức trong nước gồm:\n        a) Cơ quan nhà nước, cơ quan Đảng Cộng sản Việt Nam, đơn vị vũ trang nhân dân, Mặt trận Tổ quốc Việt Nam, tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã hội - nghề nghiệp, đơn vị sự nghiệp công lập và tổ chức khác theo quy định của pháp luật;\n        b) Tổ chức kinh tế theo quy định của Luật Đầu tư, trừ trường hợp quy định tại khoản 7 Điều này (sau đây gọi là tổ chức kinh tế);\n    2. Tổ chức tôn giáo, tổ chức tôn giáo trực thuộc;\n    3. Cá nhân trong nước, người Việt Nam định cư ở nước ngoài là công dân Việt Nam (sau đây gọi là cá nhân);\n    4. Cộng đồng dân cư;\n    5. Tổ chức nước ngoài có chức năng ngoại giao gồm cơ quan đại diện ngoại giao, cơ quan lãnh sự, cơ quan đại diện khác của nước ngoài có chức năng ngoại giao được Chính phủ Việt Nam thừa nhận; cơ quan đại diện của tổ chức thuộc Liên hợp quốc, cơ quan hoặc tổ chức liên chính phủ, cơ quan đại diện của tổ chức liên chính phủ;']",simple,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
What are the principles of land use according to the Luật?,"The principles of land use according to the Luật include: 1. Using land for its intended purpose. 2. Sustainable, economical, and effective use of land and surface resources. 3. Protecting land and the environment, adapting to climate change, and avoiding the misuse of pesticides and chemical fertilizers that cause pollution and land degradation. 4. Fulfilling the rights and obligations of land users within the duration specified by the law and related regulations, without infringing on the legal rights and interests of adjacent land users.","['6. Người gốc Việt Nam định cư ở nước ngoài;\n    7. Tổ chức kinh tế có vốn đầu tư nước ngoài.\nĐiều 5. Nguyên tắc sử dụng đất\n    1. Đúng mục đích sử dụng đất.\n    2. Bền vững, tiết kiệm, có hiệu quả đối với đất đai và tài nguyên trên bề mặt, trong lòng đất.\n    3. Bảo vệ đất, bảo vệ môi trường, thích ứng với biến đổi khí hậu, không được lạm dụng thuốc bảo vệ thực vật, phân hóa học làm ô nhiễm, thoái hóa đất.\n    4. Thực hiện quyền và nghĩa vụ của người sử dụng đất trong thời hạn sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan; không xâm phạm quyền, lợi ích hợp pháp của người sử dụng đất liền kề và xung quanh.\nĐiều 6. Người chịu trách nhiệm trước Nhà nước đối với việc sử dụng đất\n    1. Người đại diện theo pháp luật của tổ chức trong nước, tổ chức kinh tế có vốn đầu tư nước ngoài; người đứng đầu của tổ chức nước ngoài có chức năng ngoại giao đối với việc sử dụng đất của tổ chức mình.']",simple,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
Chủ tịch Ủy ban nhân dân cấp xã có trách nhiệm gì đối với việc sử dụng đất nông nghiệp vào mục đích công ích tại Việt Nam?,"Chủ tịch Ủy ban nhân dân cấp xã có trách nhiệm đối với việc sử dụng đất nông nghiệp vào mục đích công ích, bao gồm đất phi nông nghiệp đã giao cho Ủy ban nhân dân cấp xã để sử dụng vào mục đích xây dựng trụ sở Ủy ban nhân dân, các công trình công cộng phục vụ hoạt động văn hóa, giáo dục, y tế, thể dục, thể thao, vui chơi, giải trí, chợ, nghĩa trang và công trình công cộng khác của xã, phường, thị trấn.","['2. Chủ tịch Ủy ban nhân dân cấp xã đối với việc sử dụng đất nông nghiệp vào mục đích công ích; đất phi nông nghiệp đã giao cho Ủy ban nhân dân cấp xã để sử dụng vào mục đích xây dựng trụ sở Ủy ban nhân dân, các công trình công cộng phục vụ hoạt động văn hóa, giáo dục, y tế, thể dục, thể thao, vui chơi, giải trí, chợ, nghĩa trang và công trình công cộng khác của xã, phường, thị trấn; đất tôn giáo, đất tín ngưỡng chưa giao quản lý, sử dụng.\n    3. Người đại diện cho cộng đồng dân cư là trưởng thôn, làng, ấp, bản, bon, buôn, phum, sóc, tổ dân phố và điểm dân cư tương tự hoặc người được cộng đồng dân cư thỏa thuận cử ra.\n    4. Người đại diện tổ chức tôn giáo, tổ chức tôn giáo trực thuộc đối với việc sử dụng đất của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc.\n    5. Cá nhân, người gốc Việt Nam định cư ở nước ngoài đối với việc sử dụng đất của mình.\n    6. Người có chung quyền sử dụng đất hoặc người đại diện cho nhóm người có chung quyền sử dụng đất đối với việc sử dụng đất đó.']",simple,MISSPELLED,LONG,single_hop_specific_query_synthesizer
Người nào chịu trách nhiệm theo pháp luật về việc quản lý đất được giao?,"Người đại diện của tổ chức chịu trách nhiệm đối với việc quản lý đất trong các trường hợp như tổ chức trong nước được giao quản lý công trình công cộng, quản lý đất có mặt nước của các sông, quản lý quỹ đất đã thu hồi, và quản lý diện tích đất để thực hiện dự án đầu tư theo quy định của pháp luật.",['6. Người có chung quyền sử dụng đất hoặc người đại diện cho nhóm người có chung quyền sử dụng đất đối với việc sử dụng đất đó.\nĐiều 7. Người chịu trách nhiệm trước Nhà nước đối với đất được giao quản lý\n    1. Người đại diện của tổ chức chịu trách nhiệm đối với việc quản lý đất trong các trường hợp sau đây:\n        a) Tổ chức trong nước được giao quản lý công trình công cộng và hành lang bảo vệ an toàn các công trình theo quy định của pháp luật;\n        b) Tổ chức trong nước được giao quản lý đất có mặt nước của các sông và đất có mặt nước chuyên dùng;\n        c) Tổ chức trong nước được giao quản lý quỹ đất đã thu hồi theo quyết định của cơ quan nhà nước có thẩm quyền;\n        d) Tổ chức kinh tế được giao quản lý diện tích đất để thực hiện dự án đầu tư theo quy định của pháp luật.'],simple,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
Thể thao là gì trong quản lý đất đai?,"Trong quản lý đất đai, thể thao được phát triển như một phần của văn hóa, y tế, giáo dục và đào tạo, nhằm nâng cao giá trị của đất và phát triển các công trình liên quan.","['3. Lấn biển, đưa diện tích đất trống, đồi núi trọc, đất bãi bồi ven sông, ven biển,\nđất có mặt nước hoang hóa vào sử dụng theo quy định của Luật này.\n    4. Tập trung đất đai để sản xuất nông nghiệp, lâm nghiệp quy mô lớn.\n    5. Phát triển kết cấu hạ tầng để làm tăng giá trị của đất, phát triển công trình ngầm.\n    6. Phát triển văn hóa, y tế, giáo dục và đào tạo, thể dục, thể thao, khoa học và công nghệ, môi trường.\nĐiều 9. Phân loại đất\n    1. Căn cứ vào mục đích sử dụng, đất đai được phân loại bao gồm nhóm đất nông nghiệp, nhóm đất phi nông nghiệp, nhóm đất chưa sử dụng.\n    2. Nhóm đất nông nghiệp bao gồm các loại đất sau đây:\n        a) Đất trồng cây hằng năm, gồm đất trồng lúa và đất trồng cây hằng năm khác;\n        b) Đất trồng cây lâu năm;\n        c) Đất lâm nghiệp, gồm đất rừng đặc dụng, đất rừng phòng hộ, đất rừng sản xuất;\n        d) Đất nuôi trồng thủy sản;\nđ) Đất chăn nuôi tập trung;\n        e) Đất làm muối;\ng) Đất nông nghiệp khác.']",simple,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
Đất phi nông nghiệp là gì và bao gồm những loại nào?,"Đất phi nông nghiệp là loại đất được sử dụng cho sản xuất và kinh doanh không liên quan đến nông nghiệp. Nó bao gồm các loại đất như đất khu công nghiệp, cụm công nghiệp, đất thương mại, dịch vụ, đất cơ sở sản xuất phi nông nghiệp, và đất sử dụng cho hoạt động khoáng sản.","['đ) Đất sản xuất, kinh doanh phi nông nghiệp, gồm: đất khu công nghiệp, cụm công nghiệp; đất thương mại, dịch vụ; đất cơ sở sản xuất phi nông nghiệp; đất sử dụng cho hoạt động khoáng sản;\n        e) Đất sử dụng vào mục đích công cộng, gồm: đất công trình giao thông; đất công trình thủy lợi; đất công trình cấp nước, thoát nước; đất công trình phòng, chống thiên tai; đất có di tích lịch sử - văn hóa, danh lam thắng cảnh, di sản thiên\nnhiên; đất công trình xử lý chất thải; đất công trình năng lượng, chiếu sáng công cộng; đất công trình hạ tầng bưu chính, viễn thông, công nghệ thông tin; đất chợ dân sinh, chợ đầu mối; đất khu vui chơi, giải trí công cộng, sinh hoạt cộng đồng;\n    g) Đất sử dụng cho hoạt động tôn giáo (sau đây gọi là đất tôn giáo); đất sử dụng cho hoạt động tín ngưỡng (sau đây gọi là đất tín ngưỡng);\n    h) Đất nghĩa trang, nhà tang lễ, cơ sở hỏa táng; đất cơ sở lưu giữ tro cốt;\n    i) Đất có mặt nước chuyên dùng;\nk) Đất phi nông nghiệp khác.']",simple,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
"What are the responsibilities of the authorities regarding the issuance and correction of the Giấy chứng nhận quyền sử dụng đất, and how does this relate to the quy hoạch sử dụng đất quốc phòng?","The authorities responsible for issuing the Giấy chứng nhận quyền sử dụng đất must correct any errors in the certificates issued, such as inaccuracies in the information of the certificate holder or discrepancies regarding the land parcel and attached assets compared to the registered land records. Additionally, the planning for the use of land for national defense and security is structured into five-year cycles, which includes solutions and resources for implementing this planning. This indicates a systematic approach to managing land use in relation to national priorities.","['<1-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:', '<2-hop>\n\nc) Phân kỳ quy hoạch sử dụng đất quốc phòng, đất an ninh cho từng kỳ kế hoạch 05 năm;\n    d) Giải pháp, nguồn lực thực hiện quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh.”.\n        c) Sửa đổi, bổ sung khoản 7 như sau:\n“7. Chính phủ quy định chi tiết nội dung quy hoạch ngành quốc gia tại các khoản 3, 4, 4a, 5, và 6 Điều này; quy định việc tích hợp quy hoạch vào quy hoạch ngành quốc gia.\nViệc lập, thẩm định, phê duyệt và điều chỉnh quy hoạch có tính chất kỹ thuật, chuyên ngành để triển khai các nội dung quy định tại các khoản 3, 4, 4a, 5, và 6 Điều này thực hiện theo quy định của pháp luật có liên quan.”.\n    3. Sửa đổi, bổ sung điểm l khoản 2 Điều 27 như sau:\n“l) Định hướng sử dụng đất đến từng đơn vị hành chính cấp huyện;”.\n    4. Bổ sung quy hoạch số thứ tự 1a vào trước số thứ tự 1 của Phụ lục II về Danh mục các quy hoạch có tính chất kỹ thuật, chuyên ngành như sau:']",multi_context,,,multi_hop_abstract_query_synthesizer
"Làm thế nào để tuân thủ trình tự, thủ tục khi đính chính hoặc thu hồi Giấy chứng nhận quyền sử dụng đất?","Để tuân thủ trình tự, thủ tục khi đính chính hoặc thu hồi Giấy chứng nhận quyền sử dụng đất, cơ quan có thẩm quyền cần thực hiện theo quy định tại Điều 136 của Luật này. Cụ thể, họ có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp như sai sót thông tin của người được cấp giấy chứng nhận hoặc sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai. Ngoài ra, nhà nước cũng có quyền thu hồi giấy chứng nhận đã cấp trong các trường hợp quy định, đảm bảo tuân thủ trình tự, thủ tục theo quy định của Luật.","['<1-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:', '<2-hop>\n\nđ) Tuân thủ trình tự, thủ tục theo quy định của Luật này.\n    2. Cơ quan có thẩm quyền tổ chức lập quy hoạch có trách nhiệm tổ chức rà soát quy hoạch sử dụng đất định kỳ 05 năm để điều chỉnh phù hợp với tình hình phát triển kinh tế - xã hội trong từng giai đoạn.\n    3. Việc rà soát, điều chỉnh quy hoạch sử dụng đất quốc gia, quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh thực hiện theo quy định của pháp luật về quy hoạch.\n    4. Căn cứ điều chỉnh quy hoạch sử dụng đất cấp tỉnh bao gồm:\n        a) Do điều chỉnh quy hoạch cấp quốc gia, quy hoạch vùng, quy hoạch tỉnh, quy hoạch có tính chất kỹ thuật, chuyên ngành có sử dụng đất cấp quốc gia, liên tỉnh làm thay đổi cơ cấu sử dụng đất của cấp tỉnh;\n        b) Do việc thành lập, nhập, chia, điều chỉnh địa giới đơn vị hành chính của đơn vị hành chính cấp tỉnh, đơn vị hành chính trực thuộc;']",multi_context,,,multi_hop_abstract_query_synthesizer
What are the key components of the national defense land use planning and how does it relate to the issuance and correction of land use certificates?,"The key components of the national defense land use planning include the national master plan, national marine spatial planning, national land use planning, natural, economic, and social conditions of the country, the current status of land use, and the results of previous land use planning for national defense and security. Additionally, the issuance and correction of land use certificates are governed by regulations that require authorities to rectify any errors in the certificates issued, such as incorrect information about the certificate holder or the land parcel. The state also has the authority to revoke certificates under specific circumstances.","['<1-hop>\n\nĐiều 68. Quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh\n    1. Quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh là quy hoạch ngành quốc gia.\n    2. Căn cứ lập quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh bao gồm các căn cứ theo quy định của pháp luật về quy hoạch và các căn cứ sau đây:\n        a) Quy hoạch tổng thể quốc gia, quy hoạch không gian biển quốc gia, quy hoạch sử dụng đất quốc gia;\n        b) Điều kiện tự nhiên, kinh tế, xã hội của quốc gia;\n        c) Hiện trạng sử dụng đất và kết quả thực hiện quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh thời kỳ trước;\n        d) Nhu cầu, khả năng sử dụng đất quốc phòng, an ninh.\n    3. Nội dung quy hoạch sử dụng đất quốc phòng, quy hoạch sử dụng đất an ninh thực hiện theo quy định của pháp luật về quy hoạch.', '<2-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:']",multi_context,,,multi_hop_abstract_query_synthesizer
Cơ quan nào có trách nhiệm đính chính giấy chứng nhận quyền sử dụng đất và điều kiện nào để tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất nông nghiệp?,"Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót. Để tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất nông nghiệp, họ phải có phương án sử dụng đất nông nghiệp được Ủy ban nhân dân cấp huyện chấp thuận, bao gồm các nội dung như địa điểm, diện tích, mục đích sử dụng đất, kế hoạch sản xuất, kinh doanh nông nghiệp, vốn đầu tư, thời hạn sử dụng đất, và tiến độ sử dụng đất.","['<1-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:', '<2-hop>\n\n6. Tổ chức kinh tế được nhận chuyển nhượng quyền sử dụng đất nông nghiệp phải có phương án sử dụng đất nông nghiệp được Ủy ban nhân dân cấp huyện chấp thuận. Phương án sử dụng đất nông nghiệp phải có các nội dung chính sau đây:\n        a) Địa điểm, diện tích, mục đích sử dụng đất;\n        b) Kế hoạch sản xuất, kinh doanh nông nghiệp;\n        c) Vốn đầu tư;\n        d) Thời hạn sử dụng đất; đ) Tiến độ sử dụng đất.\n    7. Cá nhân không trực tiếp sản xuất nông nghiệp nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất trồng lúa quá hạn mức quy định tại Điều 176 của Luật này thì phải thành lập tổ chức kinh tế và có phương án sử dụng đất trồng lúa bao gồm các nội dung theo quy định tại khoản 6 Điều này và được Ủy ban nhân dân cấp huyện phê duyệt, trừ trường hợp người nhận tặng cho là người thuộc hàng thừa kế.\n    8. Các trường hợp không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất quy định như sau:']",multi_context,,,multi_hop_abstract_query_synthesizer
What responsibilities does the Ủy ban nhân dân cấp tỉnh have regarding the Giấy chứng nhận quyền sử dụng đất?,"The Ủy ban nhân dân cấp tỉnh is responsible for organizing the annual review, processing, and publicly announcing the recovery of land, changes in land use purposes, and adjustments or cancellations of land recovery and changes in land use purposes as recorded in the annual land use plan at the district level. This information is published on the electronic information page of the Ủy ban nhân dân cấp tỉnh and is sent to the Ministry of Natural Resources and Environment, as well as to the Ủy ban nhân dân cấp huyện and cấp xã.","['<1-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:', '<2-hop>\n\n8. Hằng năm, Ủy ban nhân dân cấp tỉnh có trách nhiệm tổ chức rà soát, xử lý và công bố công khai việc thu hồi đất, chuyển mục đích sử dụng đất, điều chỉnh, hủy bỏ việc thu hồi đất, chuyển mục đích sử dụng đất đối với đất đã được ghi trong kế hoạch sử dụng đất hằng năm cấp huyện trên trang thông tin điện tử của Ủy ban nhân dân cấp tỉnh; gửi thông tin đến Bộ Tài nguyên và Môi trường, Ủy ban nhân dân cấp huyện và Ủy ban nhân dân cấp xã.\n    9. Chính phủ quy định nguyên tắc, tiêu chí phân bổ chỉ tiêu sử dụng đất cấp tỉnh, chỉ tiêu sử dụng đất cấp huyện.\n    10. Chính phủ quy định chi tiết Điều này và việc lập, thẩm định, điều chỉnh, lấy ý kiến, phê duyệt, công bố kế hoạch sử dụng đất quốc gia, quy hoạch sử dụng đất cấp tỉnh, quy hoạch sử dụng đất cấp huyện, kế hoạch sử dụng đất hằng năm cấp huyện.\nĐiều 77. Trách nhiệm báo cáo kết quả thực hiện quy hoạch, kế hoạch sử dụng đất']",multi_context,,,multi_hop_abstract_query_synthesizer
What are the principles governing the issuance of the Giấy chứng nhận quyền sử dụng đất and how do they relate to the Kế hoạch sử dụng đất?,"The issuance of the Giấy chứng nhận quyền sử dụng đất is governed by regulations that require the responsible authority to correct any errors in the certificate, as outlined in Article 152. This includes ensuring that the information matches the official records. Additionally, the Kế hoạch sử dụng đất must adhere to principles that ensure a balance between the needs of various sectors and the potential of the land, as stated in Article 60. This means that the planning of land use must consider the requirements for sustainable economic development while also ensuring that land use is efficient and effective.","['<1-hop>\n\ne) Tài sản gắn liền với đất không thuộc trường hợp quy định tại Điều 148 và\nĐiều 149 của Luật này.\nĐiều 152. Đính chính, thu hồi, hủy giấy chứng nhận đã cấp\n    1. Cơ quan có thẩm quyền cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất quy định tại Điều 136 của Luật này có trách nhiệm đính chính giấy chứng nhận đã cấp có sai sót trong các trường hợp sau đây:\n        a) Có sai sót thông tin của người được cấp giấy chứng nhận so với thông tin tại thời điểm đính chính;\n        b) Có sai sót thông tin về thửa đất, tài sản gắn liền với đất so với hồ sơ kê khai đăng ký đất đai, tài sản gắn liền với đất đã được tổ chức đăng ký đất đai kiểm tra xác nhận hoặc được thể hiện trong văn bản có hiệu lực của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai.\n    2. Nhà nước thu hồi giấy chứng nhận đã cấp trong các trường hợp sau đây:', '<2-hop>\n\nĐiều 60. Nguyên tắc lập quy hoạch, kế hoạch sử dụng đất\n    1. Việc lập quy hoạch sử dụng đất các cấp phải tuân thủ nguyên tắc và mối quan hệ giữa các loại quy hoạch theo quy định của Luật Quy hoạch.\nQuy hoạch sử dụng đất các cấp phải tổng hợp, cân đối nhu cầu sử dụng đất của các ngành, lĩnh vực có sử dụng đất.\n    2. Quy hoạch sử dụng đất quốc gia phải bảo đảm tính đặc thù, liên kết vùng; bảo đảm sự cân bằng giữa nhu cầu sử dụng đất của các ngành, lĩnh vực, địa phương và phù hợp với tiềm năng đất đai của quốc gia nhằm sử dụng đất tiết kiệm, hiệu quả.\n    3. Quy hoạch, kế hoạch sử dụng đất được lập ở cấp quốc gia, cấp tỉnh và cấp huyện phải đáp ứng yêu cầu thực hiện chiến lược phát triển kinh tế - xã hội nhanh, bền vững; bảo đảm quốc phòng, an ninh.', '<3-hop>\n\n4. Hộ gia đình, cá nhân đang sử dụng đất nông nghiệp do tự khai hoang, không có tranh chấp thì được Nhà nước cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất theo hạn mức giao đất nông nghiệp do Ủy ban nhân dân cấp tỉnh quy định; nếu vượt hạn mức do Ủy ban nhân dân cấp tỉnh quy định thì diện tích vượt hạn mức phải chuyển sang thuê đất của Nhà nước.\n    5. Trường hợp hộ gia đình, cá nhân sử dụng đất có vi phạm pháp luật đất đai quy định tại khoản 1 và khoản 2 Điều này kể từ ngày 01 tháng 7 năm 2014 trở về sau thì Nhà nước không cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất và xử lý theo quy định của pháp luật.\n    6. Chính phủ quy định chi tiết Điều này.\nĐiều 140. Cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất cho hộ gia đình, cá nhân đang sử dụng đất được giao không đúng thẩm quyền']",multi_context,,,multi_hop_abstract_query_synthesizer
